Ref,Instance block,Symbol key,Concrete symbol name,Symbol state,Notes
J1,input-protection,INPUT_CONNECTOR,PB100_INPUT_CONNECTOR_CLASS_PRELIM,Created,Garage battery input connector class
D1,input-protection,INPUT_TVS,PB100_INPUT_TVS_PRELIM,Created,Input load-dump TVS class
U1,input-protection,INPUT_IDEAL_DIODE,PB100_LM74700QDBVRQ1_PRELIM,Created,LM74700-Q1 preliminary symbol
Q1,input-protection,INPUT_REVERSE_FET,PB100_INPUT_NMOS_TOLL_PRELIM,Created,IAUTN06S5N008/TOLL pin evidence captured; footprint and 40 A thermal review remain open
RSH1,input-protection,TOTAL_CURRENT_SHUNT,PB100_INPUT_SHUNT_PRELIM,Created,Four-terminal total input current shunt class
U2,input-protection,TOTAL_CURRENT_MONITOR,PB100_INA228_Q1_PRELIM,Created,INA228-Q1 preliminary symbol
U3,logic-power,LOGIC_BUCK,PB100_LM5164QDDATQ1_PRELIM,Created,LM5164-Q1 preliminary symbol
L1,logic-power,LOGIC_BUCK_INDUCTOR,PB100_BUCK_INDUCTOR_CLASS_PRELIM,Created,Buck inductor class
JPB1,b2b-interface,B2B_CONNECTOR,PB100_JPB1_100PIN_PRELIM,Created,Generated from JPB1 pin map
U101,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT1 high-side controller
Q101,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT1 default output MOSFET
F101,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT1 user-serviceable fuse class
J101,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT1 garage output connector class
U102,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT2 high-side controller
Q102,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT2 default output MOSFET; OUT2_ESCAPE_FET remains conditional alternate
F102,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT2 user-serviceable fuse class
J102,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT2 garage output connector class
U103,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT3 high-side controller
Q103,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT3 default output MOSFET
F103,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT3 user-serviceable fuse class
J103,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT3 garage output connector class
U104,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT4 high-side controller
Q104,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT4 default output MOSFET
F104,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT4 user-serviceable fuse class
J104,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT4 garage output connector class
U105,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT5 high-side controller
Q105,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT5 default output MOSFET
F105,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT5 user-serviceable fuse class
J105,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT5 garage output connector class
U106,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT6 high-side controller
Q106,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT6 default output MOSFET
F106,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT6 user-serviceable fuse class
J106,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT6 garage output connector class
U107,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT7 high-side controller
Q107,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT7 default output MOSFET
F107,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT7 user-serviceable fuse class
J107,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT7 garage output connector class
U108,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT8 high-side controller
Q108,outputs,OUT_FET,PB100_SIDR626LDP_PRELIM,Created,OUT8 default output MOSFET
F108,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT8 user-serviceable fuse class
J108,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT8 garage output connector class
U109,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT9 high-side controller
